Course Code,
ANVS2000,
CHEM1200,
CHEM1300,
COMP1003,
COMP1007,
CSAI1007,
CUTM1003,
DEFE1504,
ECCE2000,
ECED1020,
EDUC2010,
EDUC2023,
ERSC1005,
ISLM1140,
ISLM2010,
ISLM2030,
ISLM2040,
ISLM2060,
ISLM2070,
ISLM2190,
MEDI2003,
MNGT2501,
PHED1260,
PHIL2030,
PHYS2801,
PHYS2802,
PHYS2830,
PLNT2020,
STAT2100,
SWAE2003,
THAR1011,
THAR1016,
TOUR1051,
TOUR1055,
TOUR1058,
TOUR1061,
TOUR1062,
TOUR2051,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
